,CampaignURL,numSupporters,TeamOrAthlete,AmountAdjusted,Success,Wordcount,NarcissismFactor,joy,sadness,negative,positive,fear,trust,FundingGoalAdjusted
1,https://sportfunder.com/tjslaviatuzvolen/28678,0,teams,0,fail,124,10.491,3,0,2,7,0,8,2781.8
2,https://sportfunder.com/umangsingh/31803,0,teams,0,fail,1,0,NA,NA,NA,NA,NA,NA,#N/A
3,https://sportfunder.com/danielvassalladams/25809,6,teams,99.35,fail,219,17.613,5,3,4,9,1,10,993.5
4,https://sportfunder.com/seanamini/29524,3,teams,99.35,fail,161,8.456,8,0,4,16,2,23,4967.5
5,https://sportfunder.com/sambofederationofarmenia/28323,0,teams,0,fail,117,13.553,4,0,2,8,1,9,6500
6,https://sportfunder.com/lionssportsclubyadrami/31841,0,teams,0,fail,1,0,NA,NA,NA,NA,NA,NA,#N/A
7,https://sportfunder.com/defenderswroclaw/28203,6,athletes,14.9025,fail,447,14.858,NA,NA,NA,NA,NA,NA,3477.25
8,https://sportfunder.com/worcesterunitedcricketclub/31485,0,teams,0,fail,1,0,NA,NA,NA,NA,NA,NA,#N/A
9,https://sportfunder.com/bobthompson/12274,23,teams,1300,fail,340,31.414,9,4,10,24,1,20,12500
10,https://sportfunder.com/jovontesuber/31804,9,teams,258,fail,65,5.315,3,0,0,6,0,4,500
11,https://sportfunder.com/usadeafwrestlingorganization/23697,0,teams,0,fail,93,10.266,5,0,0,8,1,6,20000
12,https://sportfunder.com/usadeafwrestlingorganization/25617,0,teams,0,fail,86,2.76,3,0,0,6,0,4,20000
13,https://sportfunder.com/acadiauniversitycheerleading/2393,42,teams,425,fail,104,6.809,1,1,2,5,1,8,3000
14,https://sportfunder.com/acadiauniversitycheerleading/8246,34,teams,387,fail,81,7.918,2,1,1,3,0,8,7500
15,https://sportfunder.com/acadiaaxetremecheerleading/23677,14,teams,1605,fail,40,1.548,2,0,0,7,0,6,5000
16,https://sportfunder.com/winnipeggeneralstrike/2193,224,teams,5142,success,295,28.156,5,1,11,22,3,9,5000
17,https://sportfunder.com/teamgunnlaugson/25493,8,teams,200,fail,189,23.379,3,1,2,20,2,19,5000
18,https://sportfunder.com/integritycheereliteiceallstars/15641,26,teams,375,fail,92,12.071,6,0,2,8,3,9,2500
19,https://sportfunder.com/paradiseracing/4434,0,teams,0,fail,205,17.007,7,1,2,11,2,16,8000
20,https://sportfunder.com/morgyncook/40367,15,teams,835,fail,69,9.732,3,0,2,9,0,3,3000
