,CampaignName,CampaignUrl,CampaignPicUrl,ProfilePicUrl,SportName,SportUrl,ShortDescription,Location,DivBox1Val,DivBox1Name,DivBox2Val,DivBox2Name,DivBox3Val,DivBox3Name,DivBox4Val,DivBox4Name
0,SCOTT HILL,https://sportfunder.com/https://sportfunder.com/scotthill/7894,"background-image: url(""https://www.filepicker.io/api/file/YGfT1eD7RHigkfCWluTp/convert?w=400"");","background-image: url(""https://www.filepicker.io/api/file/VfCCtqcvR3KD1O1bFSv6/convert?w=400"");",Cross Country Skiing,https://sportfunder.com/https://sportfunder.com/teams/cross-country-skiing,"TeamUp ""KICK OFF"" Campaign","Thunder Bay, Ontario, Canada","$5,230
Raised",Raised,"697%
Funded",Funded,,,"8
Supporters",Supporters
1,CAROLINE COMPERATORE,https://sportfunder.com/https://sportfunder.com/carolinecomperatore_/40124,"background-image: url(""https://files.makeachamp.com/16b4b330-c074-4e7b-8297-971ae5d99bbf/-/crop/2283x2287/375,1107/-/preview/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"Telford, Pennsylvania, United States","$70
Raised",Raised,"350%
Funded",Funded,0,Days left,,
2,AVERY BELLAS,https://sportfunder.com/https://sportfunder.com/averybellas_/40603,"background-image: url(""https://files.makeachamp.com/51a3b83e-3bae-416f-8e95-7cf980b46ece/-/crop/1170x1603/0,66/-/preview/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$350
Raised",Raised,"350%
Funded",Funded,20,Days left,,
3,RUTH MARK'S,https://sportfunder.com/https://sportfunder.com/ruthmarks/23720,"background-image: url(""https://files.makeachamp.com/c77e0cd2-5218-45b9-aed2-9520daaa56a0/-/crop/2448x645/0,1310/-/preview/-/resize/1200/"");","background-image: url(""https://scontent.xx.fbcdn.net/hprofile-xpf1/v/t1.0-1/12208767_10153747396804579_2210254909780655854_n.jpg?oh=11f0e78dc6483ebf247cdd1f580821f7&oe=56D71FDA"");",CrossFit,https://sportfunder.com/https://sportfunder.com/teams/crossfit,Aidez-moi a réaliser un rêve !!!! 1$ pour ch...,,"$742
Raised",Raised,"297%
Funded",Funded,,,"62
Supporters",Supporters
4,TAYLOR POTTS AND MARIA HALAVREZOS,https://sportfunder.com/https://sportfunder.com/taylorpottsandmariahalavrezos/254,"background-image: url(""https://www.filepicker.io/api/file/5IABhOmES5mDt1WDdAzi/convert?h=600&quality=100"");","background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/media/champions/users/1016.jpg"");",Canoeing,https://sportfunder.com/https://sportfunder.com/teams/canoeing,Taylor and Maria: Boulogne or Bust!,,"$4,056
Raised",Raised,"270%
Funded",Funded,,,"106
Supporters",Supporters
5,DIA SYED,https://sportfunder.com/https://sportfunder.com/girlssportyeg/31521,"background-image: url(""https://www.youtube.com/watch?v=noD8n0_2lmg&t=30s"");","background-image: url(""https://files.makeachamp.com/a4b97780-6901-4029-b3e5-069d45d4ac34/"");",Multi-Sport,https://sportfunder.com/https://sportfunder.com/athletes/multi-sport,Alberta.. Let's create the next generation of...,"Edmonton, Alberta, Canada","$1,115
Raised",Raised,"223%
Funded",Funded,,,"44
Supporters",Supporters
6,EMMA WEISS,https://sportfunder.com/https://sportfunder.com/emmaweiss_/39453,"background-image: url(""https://files.makeachamp.com/16a59a25-688f-41ba-9385-0d62307e7354/-/crop/929x929/0,0/-/preview/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$430
Raised",Raised,"215%
Funded",Funded,,,"8
Supporters",Supporters
7,GRACE DAKUGINOW,https://sportfunder.com/https://sportfunder.com/gracedakuginow/39454,"background-image: url(""https://files.makeachamp.com/d67fa999-344b-4631-a952-3b356f678fb0/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$300
Raised",Raised,"200%
Funded",Funded,,,"1
Supporters",Supporters
8,MCGILL ROWING,https://sportfunder.com/https://sportfunder.com/mcgillrowing/7,"background-image: url(""https://www.filepicker.io/api/file/dGpvsOaRRjG4RgXy2abM/convert?h=600&quality=100"");","background-image: url(""http://sphotos-f.ak.fbcdn.net/hphotos-ak-ash4/406410_100982666726817_918098712_n.jpg"");",Rowing,https://sportfunder.com/https://sportfunder.com/teams/rowing,The McGill University Rowing Club is fundraising...,,"$2,105
Raised",Raised,"175%
Funded",Funded,,,"58
Supporters",Supporters
9,KEIRA SNYMAN,https://sportfunder.com/https://sportfunder.com/keirasnyman/28254,"background-image: url(""https://files.makeachamp.com/fe715cfc-fb24-4d5e-acca-013b76d419dd/-/crop/1819x1361/122,114/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/956bd923-d1e8-4bdc-abd7-1c720148d06d/-/crop/1436x1435/55,55/-/preview/-/resize/400/"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Join Keira's journey to the St Devote Tournament...,"Denver, Colorado, United States","$4,385
Raised",Raised,"175%
Funded",Funded,,,"46
Supporters",Supporters
10,AUDRINA LUCHINO LORENTZ,https://sportfunder.com/https://sportfunder.com/audrinaluchinolorentz_/39458,"background-image: url(""https://files.makeachamp.com/64164415-024f-410a-9e8a-1d6f54376025/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$425
Raised",Raised,"170%
Funded",Funded,,,"5
Supporters",Supporters
11,BBCARANTIA,https://sportfunder.com/https://sportfunder.com/bbcarantia/31110,"background-image: url(""https://files.makeachamp.com/56406550-3876-49b0-bff2-2c38a99177f9/-/crop/2400x1350/0,186/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/aae8aa82-a24b-42e3-a5bb-0998dd6b612e/-/resize/400/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Support your local Duerfveräin!,"Fels, Distrikt Luxemburg, Luxemburg","€9,301
Raised",Raised,"155%
Funded",Funded,,,"242
Supporters",Supporters
