,CampaignURL,SportName,City,State,Country,TeamOrAthlete,language,FundsRaisedPercent,PERSON_Entity,ORG_Entity,PRODUCT_Entity,EVENT_Entity,MONEY_Entity,DATE_Entity,TIME_Entity,GPE_Entity,LOC_Entity,NORP_Entity,IsSuccess
0,https://sportfunder.com/tjslaviatuzvolen/28678,Volleyball,Zvolen,Banská Bystrica Region,Slovakia,teams,en,0,"Slavia TU Zvolen (PERSON), Slavia TU Zvolen (PERSON), ","BIG (ORG), ",,,,"the season (DATE), our season (DATE), ",,,,,0
2,https://sportfunder.com/danielvassalladams/25809,Tennis,Zürich,Zurich,Switzerland,teams,en,10,"Elba (PERSON), Ivan Ljubičić (PERSON), Richard Gasquet (PERSON), Jake (PERSON), Jake (PERSON), Jake (PERSON), Jake (PERSON), Jake (PERSON), Dani (PERSON), Jake (PERSON), Jake (PERSON), ","Piatti (ORG), Novak Djokovic (ORG), Milos Raonic's (ORG), Piatti (ORG), Piatti (ORG), Piatti (ORG), Piatti (ORG), EUR (ORG), ",,,,"last year last year (DATE), one day (DATE), this past year (DATE), this summer (DATE), a week ago Jake (DATE), a week of 6 hours (DATE), the first week (DATE), week two (DATE), eleven year old (DATE), week two (DATE), the next couple of days (DATE), one day (DATE), ","six hours (TIME), two hours (TIME), ten minutes later (TIME), ",,"Italy (GPE), Elba (GPE), ","Italian (NORP), ",0
3,https://sportfunder.com/seanamini/29524,Hockey,Zürich,Zürich,Schweiz,teams,en,2,"Sean Amini (PERSON), ","the Iranian National Team (ORG), Inlinehockey (ORG), the World Roller Games (ORG), ",,"World Roller Games (EVENT), the Asian Winter Games (EVENT), ",,"9 (DATE), this year (DATE), 2019 (DATE), July (DATE), 2016 (DATE), 34 years (DATE), 2017 (DATE), this year (DATE), ",,,"Zurich (GPE), Switzerland (GPE), Barcelona (GPE), Iran (GPE), Switzerland (GPE), Iran (GPE), Sapporo (GPE), Japan (GPE), the Asian Roller Skating Championship (FAC), Barcelona (GPE), ","Iranian (NORP), Iranian (NORP), Iranian (NORP), ",0
4,https://sportfunder.com/sambofederationofarmenia/28323,Sambo,Yerevan,Yerevan,Armenia,teams,en,0,,"The Sambo Federation (ORG), Sambo Federation (ORG), Sambo Federation (ORG), BIG (ORG), the Sambo Federation (ORG), ",,"European Sambo Cup (EVENT), ",,"2018 (DATE), 14-17 December (DATE), the season (DATE), a season (DATE), ",,,"Armenia (GPE), Spain (GPE), Armenia (GPE), ","Armenian (NORP), ",0
8,https://sportfunder.com/bobthompson/12274,Cross Country Skiing,Woodstock,Ontario,Canada,teams,en,10,"2 - Otepaa (PERSON), ","a National Development Centre (ORG), a Training Centre (ORG), Stonewaters (ORG), National Development Centre (ORG), Camp - Hayward (ORG), B.C. - $3 000 (ORG), ",,"Olympics (EVENT), World Cup Tour (EVENT), North American Cup Races (EVENT), North American Cup Races - (EVENT), World Cup (EVENT), Scandinavian Cup B-Tour (EVENT), the World Cup (EVENT), ","$12 500 (MONEY), $1 200
 (MONEY), 800 (MONEY), $1 500 (MONEY), 2500 (MONEY), ","14 (DATE), nearly 10 years (DATE), this past winter (DATE), this year (DATE), the summer (DATE), the winter (DATE), this year (DATE), several weeks (DATE), the past few years (DATE), My first few years (DATE), The past 2 years (DATE), this year (DATE), December (DATE), this year (DATE), January (DATE), February (DATE), ","my hours (TIME), ",,"Thunder Bay (GPE), Ontario (GPE), Europe (LOC), Oregon (GPE), Wisconsin (GPE), Alberta (GPE), Estonia + Rybinsk (FAC), Russia (GPE), ","North American (NORP), ",0
9,https://sportfunder.com/jovontesuber/31804,Football,Woodbury,Minnesota,United States,teams,en,52,"Jovonte Suber (PERSON), ","MN, USA (ORG), NFL (ORG), ",,,,"today (DATE), ",,,"Woodbury (GPE), ",,0
10,https://sportfunder.com/usadeafwrestlingorganization/23697,Wrestling,Woodbridge,Virginia,United States,teams,en,0,"Greco Roman (PERSON), ","the USA Deaf Wrestling Organization (ORG), the 2013 Deaflympics (ORG), National (ORG), ",,,,"year (DATE), 10 years to (DATE), 35 years old (DATE), ",,,"Northern Va. (GPE), Washington DC (GPE), Sofia (GPE), Bulgaria (GPE), ",,0
11,https://sportfunder.com/usadeafwrestlingorganization/25617,Wrestling,Woodbridge,Virginia,United States,teams,en,0,"Folks Style, Free Style (PERSON), Greco Roman (PERSON), Grappling (PERSON), ","the USA Deaf & Challenged Wrestling Organization, Inc. (ORG), the GR/FS National Tournament (ORG), ",,"Olympics (EVENT), ",,"this July (DATE), ",,,"the United States (GPE), Fargo ND (FAC), ",,0
12,https://sportfunder.com/acadiauniversitycheerleading/2393,Cheerleading,Wolfville ,Nova Scotia ,Canada,teams,en,14,,"Acadia University Cheerleading (ORG), the Night Walk for Leukemia (ORG), Acadia University Cheerleading (ORG), Amber Lingard (ORG), Acadia University Cheerleading   (ORG), ",,,,"all year (DATE), the last four years (DATE), all year (DATE), the 2013/2014 year (DATE), this year (DATE), ",,,"Wolfville (GPE), Halifax (GPE), ",,0
13,https://sportfunder.com/acadiauniversitycheerleading/8246,Cheerleading,Wolfville ,Nova Scotia ,Canada,teams,en,5,"Maritime Meltdown (PERSON), ","Acadia Cheerleading (ORG), Acadia Cheerleading (ORG), Halifax (ORG), Winterfest (ORG), ",,,,"This year (DATE), ",,,"Ontario (GPE), Ontario (GPE), St. Catherine's (GPE), Ontario (GPE), ",,0
14,https://sportfunder.com/acadiaaxetremecheerleading/23677,Cheerleading,Wolfville,Nova Scotia,Canada,teams,en,32,,"Acadia Axetreme Cheer (ORG), Acadia University (ORG), Acadia (ORG), ",,,,,,,"Wolfville (GPE), NS (GPE), Eastern competitions (LOC), ",,0
15,https://sportfunder.com/winnipeggeneralstrike/2193,Ultimate,Winnipeg,Manitoba,Canada,teams,en,103,"Strike (PERSON), Winnipeg (PERSON), Strike (PERSON), Strike (PERSON), Strike
https://www.facebook.com/WinnipegGeneralStrike (PERSON), ","Ultimate (ORG), Ultimate (ORG), WUCC (ORG), WUCC (ORG), WUCC (ORG), ",,"Canadian Ultimate Championship (EVENT), ","at least $3 (MONEY), ","this year (DATE), 15-year (DATE), 2013 (DATE), six months (DATE), 2014 (DATE), February 2014 (DATE), 2014 (DATE), August 2-9 (DATE), ","hundreds of hours (TIME), ",,"Canada (GPE), Lecco (GPE), Italy (GPE), Italy (GPE), ","Canadian (NORP), WUCC (NORP), ",1
16,https://sportfunder.com/teamgunnlaugson/25493,Curling,Winnipeg,Manitoba,Canada,teams,en,4,"Team Gunnlaugson (PERSON), Jason (PERSON), Kyle (PERSON), Rob (PERSON), ","the Canadian Team Ranking System (ORG), Colton (ORG), Men (ORG), Canadian Junior (ORG), World (ORG), ",,,"$800 to $1200 (MONEY), ","2017 (DATE), last year (DATE), 2016-2017 (DATE), 2017 (DATE), ",,,"Winnipeg (GPE), Manitoba (GPE), Canada (GPE), ",,0
17,https://sportfunder.com/integritycheereliteiceallstars/15641,Cheerleading,Windsor,Nova Scotia,Canada,teams,en,15,,"the UCA Nationals (ORG), ",,,,"this year (DATE), 7 days (DATE), ",,,"Florida (GPE), ",,0
18,https://sportfunder.com/paradiseracing/4434,Mountain Biking,Windsor,VT,United States,teams,en,0,"Ethan Gilmour (PERSON), Ethan (PERSON), William (PERSON), Ethan (PERSON), Ethan (PERSON), Ethan (PERSON), Ethan (PERSON), Ethan (PERSON), Enduro (PERSON), Ethan (PERSON), Ethan (PERSON), Helping Ethan (PERSON), Rich Thomas - Owner (PERSON), Rob Westover - Cat (PERSON), Michael Batman - Pro Enduro Racer (PERSON), Ethan (PERSON), ","the Paradise Team (ORG), the US National Mountain Bike Team (ORG), U23 (ORG), the North American World Cups (ORG), U23 (ORG), Windsor VT (ORG), Paradise Sports (ORG), Rowan - Cat (ORG), ",,"World Cup (EVENT), US National Champ at Mt Snow (EVENT), World Championships Bronze Relay Team at Ft (EVENT), World Cup Race (EVENT), World Cup (EVENT), ",,"2007 (DATE), 2007 (DATE), 2008 (DATE), 2009 (DATE), 2014 (DATE), the season (DATE), ",,,"Scotland (GPE), Bromont (GPE), Mt. Saint Anne Canada (LOC), Germany (GPE), US (GPE), the Eastern States Cup Enduro (GPE), Route 66 (FAC), the Windham WC (FAC), Mt. Saint Anne (LOC), Canada (GPE), ","European (NORP), Paradise Sports (NORP), ",0
19,https://sportfunder.com/morgyncook/40367,Softball,Wilmington,DE,United States,teams,en,28,"Morgyn Cook (PERSON), DE (PERSON), ","Hall of Fame Stadium (ORG), ",,,,"August (DATE), today (DATE), ",,,"Wilmington (GPE), Oklahoma City (GPE), Oklahoma (GPE), ",,0
22,https://sportfunder.com/dawsonblues/13541,Basketball,Westmount,Quebec,Canada,teams,en,11,"Annie Pier - 1st (PERSON), Marie (PERSON), Joli-ann - 1st year (PERSON), ","The Dawson Women's Division 1 (ORG), Provincial (ORG), Team Roster
 (ORG), Sarah - Social Science (ORG), Social Science
# (ORG), Social Science
# (ORG), Social Science, Psychology
#15 (ORG), Pure & Applied - Aspiring Bio-medical (ORG), Engineer (ORG), Queens University (ORG), Social Science
# (ORG), Health Science - Aspiring (ORG), Health Science - Aspiring (ORG), Social Science
#12 (ORG), Social Science
#13 (ORG), Health Science
#4 Van - 1st year (ORG), Social Science, Psychology
Team (ORG), Kagan-Cassidy (ORG), Queen's University
Team Manager - Amy Soulis (ORG), Coach (ORG), Coach - Stephanie Bergeron (ORG), ",,"National Championship (EVENT), Lana - Final year (EVENT), ","11 (MONEY), 14 (MONEY), ","only 3 weeks (DATE), the season (DATE), - 1st year (DATE), Tamara - 1st year (DATE), April (DATE), ",,,"Canada (GPE), the United States (GPE), Quebec (GPE), British Columbia (GPE), Quebec (GPE), Canada (GPE), Toledo (GPE), Robertha (GPE), the United States (GPE), ","American (NORP), ",0
23,https://sportfunder.com/academicartshighschool/31146,Football,West Saint Paul,Minnesota,United States,teams,en,0,,"Academic Arts High School (ORG), Academic Arts High School (ORG), Academic Arts High School (ORG), BIG (ORG), the Academic Arts High School (ORG), ",,,,"our FIRST season (DATE), ",,,"West St. Paul (GPE), Minnesota (GPE), ",,0
25,https://sportfunder.com/robmcdougall/27770,Automobile Racing,Wellington,Wellington,New Zealand,teams,en,74,"Runner Up (PERSON), Desire (PERSON), Qualifying (PERSON), Aussie Driver Search (PERSON), Auck (PERSON), ","the Aussie Driver Search (ORG), Toyota (ORG), Finale (ORG), NSW Australia (ORG), Qualifying (ORG), Qualifying (ORG), Motorsport (ORG), BUDGET (ORG), Toyota (ORG), Finale (ORG), Qualifying (ORG), Finale (ORG), ",,"NSW Championships (EVENT), Racing Series Car (EVENT), ","50,000 (MONEY), 50,000 (MONEY), 1450 (MONEY), $240
 (MONEY), 115 (MONEY), 230 (MONEY), 205 (MONEY), 2240 (MONEY), 960 (MONEY), ","years (DATE), A few years ago (DATE), each year (DATE), 19th (DATE), 2010 (DATE), 2018 (DATE), August 2018 (DATE), December 2018 (DATE), the day (DATE), 2019 (DATE), the coming weeks (DATE), 11 weeks (DATE), around 20th April (DATE), day (DATE), ",,,"Australia (GPE), New Zealand (GPE), Pukekohe (GPE), New Zealand (GPE), Pukekohe Park Raceway (FAC), New Zealand (GPE), Qualify (GPE), Wakefield (GPE), Wakefield (GPE), Wakefield (GPE), Qualifying (GPE), Australia (GPE), Wellington (GPE), Sydney (GPE), Sydney (GPE), Australia (GPE), ",,0
26,https://sportfunder.com/anthonypietersz/29528,Cricket,Wellington,Wellington,New Zealand,teams,en,12,"Anthony Pietersz (PERSON), Anthony Pietersz (PERSON), ","NZD (ORG), ",,,"4500.00 (MONEY), ","13 year old (DATE), year 10 (DATE), under 16 (DATE), this year (DATE), this year (DATE), ",,,"Wellington (GPE), New Zealand (GPE), the St Patrick Silverstream College (FAC), Wellington (GPE), New Zealand (GPE), Wellington (GPE), India (GPE), New Zealand (GPE), ",,0
27,https://sportfunder.com/wellingtonwolvesflagfootballteam/31183,Flag Football,Wellington,Wellington,New Zealand,teams,en,1,"Flag (PERSON), National Tournament- (PERSON), ","American Football Club (ORG), Flag (ORG), NZAFF (ORG), Sky Television (ORG), ",,,,"this year (DATE), ",,,"Wellington (GPE), Wellington (GPE), New Zealand (GPE), New Zealand (GPE), New Zealand (GPE), Auckland (GPE), Wellington (GPE), ",,0
29,https://sportfunder.com/donaldbrown/31536,Wrestling,Washington,Georgia,United States,teams,en,5,"Donald Brown (PERSON), ","Professional Wrestling (ORG), ",,,,"12 years (DATE), today (DATE), ",,,"Washington (GPE), GA (GPE), USA (GPE), Georgia (GPE), ",,0
30,https://sportfunder.com/wallaseywolves/29346,Football,Wallasey,England,United Kingdom,teams,en,0,,,,,"500 (MONEY), ","season (DATE), ",,,"North West (LOC), ",,0
32,https://sportfunder.com/keyarawardley/8762,Rugby,Vulcan,AB,Canada,teams,en,32,,"Rugby Canada Age Grade National Championships

Rugby Alberta (ORG), U18 Women (ORG), U18 Men (ORG), U16 Girls (ORG), U16 (ORG), Make A Champ (ORG), Board of Directors of Rugby Alberta (ORG), ",,"Championships (EVENT), ","1250 (MONEY), ","2014 (DATE), 2014 (DATE), August 5 - 10, 2014 (DATE), This year (DATE), 2014 (DATE), ",,,"Camp (FAC), Alberta (GPE), ",,0
33,https://sportfunder.com/ironrangestrikersfc/31161,Soccer,Virginia,Minnesota,United States,teams,en,48,,,,,,"the season (DATE), today (DATE), tomorrow (DATE), ",,,"Minnesota (GPE), Northern Minnesota (LOC), ",,0
38,https://sportfunder.com/uvicsynchro/889,Synchronized Swimming,Victoria,BC,Canada,teams,en,75,"UVIC Synchro (PERSON), ","The University of Victoria Synchronized Swimming (ORG), University Nationals (ORG), University of Victoria (ORG), ",,,,,"many hours (TIME), hours (TIME), ",,"Canada (GPE), the United States (GPE), Nationals (GPE), British Columbia (GPE), ",,0
39,https://sportfunder.com/teamvicaustralianfootball/27492,Australian Rules Football,Victoria,Australia,,teams,en,12,,"Team Vic Australian Football (ORG), ",,,,"this year (DATE), the end of the season (DATE), this year (DATE), ",,,,,0
40,https://sportfunder.com/lindsayandpatricia/17273,Rowing,Victoria,BC,Canada,teams,en,9,"Lindsay (PERSON), Lindsay (PERSON), ","Obee (ORG), Croker (ORG), ",,,"9,700 (MONEY), ","four years (DATE), 2008 (DATE), a year (DATE), 2012 (DATE), August 2016 (DATE), February, March (DATE), ",,,"Beijing (GPE), London (GPE), Rio de Janeiro (GPE), London (GPE), ",,0
41,https://sportfunder.com/teamvicrugby/27490,Rugby,Victoria,Australia,,teams,en,7,,"The Team Vic Rugby (ORG), Team Vic Rugby (ORG), Team Vic Rugby (ORG), BIG (ORG), the Team Vic Rugby (ORG), ",,,,"the season (DATE), a season (DATE), year (DATE), ",,,,,0
42,https://sportfunder.com/teamvicvolleyball/27491,Volleyball,Victoria,Australia,,teams,en,2,"Team Vic Volleyball (PERSON), ","Team Vic Volleyball (ORG), BIG (ORG), the Team Vic Volleyball (ORG), ",,,,"the season (DATE), a season (DATE), year (DATE), ",,,,,0
43,https://sportfunder.com/joeyniezen/937,Synchronized Swimming,Victoria,BC,Canada,teams,en,0,"UVIC Synchro (PERSON), ","The University of Victoria Synchronized Swimming (ORG), University Nationals (ORG), University of Victoria (ORG), ",,,,,"many hours (TIME), hours (TIME), ",,"Canada (GPE), the United States (GPE), Nationals (GPE), British Columbia (GPE), ",,0
44,https://sportfunder.com/daveford/26608,Hockey,Victoria,British Columbia,Canada,teams,en,0,,"the Juan de Fuca Atom C5 (ORG), Youth (ORG), ",,,,"2016-2017 (DATE), 9-10 years (DATE), this year (DATE), ",,,,,0
46,https://sportfunder.com/kayakteam-canottieriquerinivenezia/29817,Kayaking,Venezia,Veneto,Italia,teams,en,29,,"the Querini Kayak Team (ORG), ",,,,"8 to 25 years old (DATE), Every year (DATE), this year (DATE), 1901 (DATE), Two winters ago (DATE), next season (DATE), 120 year old (DATE), ","about an hour (TIME), ",,"Venice (GPE), Italy (GPE), Italy (GPE), Malamocco (GPE), ","World (NORP), European (NORP), Venetian (NORP), ",0
47,https://sportfunder.com/fdx/29162,Mixed Martial Arts,vcx,bvc,India,teams,en,0,"Gaya (PERSON), ",,,,,"a year ago (DATE), 7 months ago (DATE), ",,,"india (GPE), ",,0
